Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Eaglesham,S20001190,Eaglesham,S19001492,East Renfrewshire,S12000011,
Earlston,S20001191,Earlston,S19001493,Scottish Borders,S12000026,
East Calder,S20001192,East Calder,S19001494,West Lothian,S12000040,
East Kilbride,S20001193,East Kilbride,S19001495,South Lanarkshire,S12000029,
East Linton,S20001194,East Linton,S19001496,East Lothian,S12000010,
East Wemyss,S20001195,East Wemyss,S19001497,Fife,S12000015,
Eastriggs,S20001196,Eastriggs,S19001500,Dumfries and Galloway,S12000006,
Ecclefechan,S20001197,Ecclefechan,S19001501,Dumfries and Galloway,S12000006,
"Edinburgh, Settlement of (part)",S20001198,Edinburgh,S19001502,City of Edinburgh,S12000036,
"Edinburgh, Settlement of (part)",S20001198,Musselburgh,S19001733,East Lothian,S12000010,
"Edinburgh, Settlement of (part)",S20001198,Wallyford,S19001904,East Lothian,S12000010,
Edzell,S20001199,Edzell,S19001503,Angus,S12000041,
Elgin,S20001200,Elgin,S19001505,Moray,S12000020,
Elie and Earlsferry,S20001201,Elie and Earlsferry,S19001506,Fife,S12000015,
Ellon,S20001202,Ellon,S19001507,Aberdeenshire,S12000034,
Elphinstone,S20001203,Elphinstone,S19001508,East Lothian,S12000010,
Errol,S20001204,Errol,S19001509,Perth and Kinross,S12000024,
"Erskine, Settlement of",S20001205,Erskine,S19001510,Renfrewshire,S12000038,
"Erskine, Settlement of",S20001205,Inchinnan,S19001591,Renfrewshire,S12000038,
Evanton,S20001206,Evanton,S19001511,Highland,S12000017,
Eyemouth,S20001207,Eyemouth,S19001512,Scottish Borders,S12000026,
Fairlie,S20001208,Fairlie,S19001514,North Ayrshire,S12000021,
"Falkirk, Settlement of",S20001209,Brightons,S19001366,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Carron,S19001397,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Carronshore,S19001398,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Falkirk,S19001515,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Grangemouth,S19001562,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Larbert,S19001655,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Laurieston,S19001660,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Maddiston,S19001695,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Polmont,S19001786,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Redding,S19001803,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Reddingmuirhead,S19001804,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Rumford,S19001818,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Stenhousemuir,S19001850,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Wallacestone,S19001903,Falkirk,S12000014,
"Falkirk, Settlement of",S20001209,Westquarter,S19001915,Falkirk,S12000014,
Falkland,S20001210,Falkland,S19001516,Fife,S12000015,
Fallin,S20001211,Fallin,S19001517,Stirling,S12000030,
Fauldhouse,S20001212,Fauldhouse,S19001518,West Lothian,S12000040,
Fenwick,S20001213,Fenwick,S19001519,East Ayrshire,S12000008,
Findhorn,S20001214,Findhorn,S19001521,Moray,S12000020,
Findochty,S20001215,Findochty,S19001522,Moray,S12000020,
Finstown,S20001216,Finstown,S19001523,Orkney Islands,S12000023,
Fochabers,S20001217,Fochabers,S19001524,Moray,S12000020,
Forfar,S20001218,Forfar,S19001525,Angus,S12000041,
Forgandenny,S20001219,Forgandenny,S19001526,Perth and Kinross,S12000024,
Forres,S20001220,Forres,S19001527,Moray,S12000020,
Fort Augustus,S20001221,Fort Augustus,S19001528,Highland,S12000017,
"Fort William, Settlement of",S20001222,Banavie and Corpach,S19001324,Highland,S12000017,
"Fort William, Settlement of",S20001222,Caol,S19001386,Highland,S12000017,
"Fort William, Settlement of",S20001222,Fort William,S19001529,Highland,S12000017,
Forth,S20001223,Forth,S19001530,South Lanarkshire,S12000029,
Fortrose,S20001224,Fortrose,S19001531,Highland,S12000017,
Fraserburgh,S20001225,Fraserburgh,S19001532,Aberdeenshire,S12000034,
Freuchie,S20001226,Freuchie,S19001533,Fife,S12000015,
Friockheim,S20001227,Friockheim,S19001534,Angus,S12000041,
Gairloch,S20001228,Gairloch,S19001535,Highland,S12000017,
"Galashiels, Settlement of",S20001229,Galashiels,S19001536,Scottish Borders,S12000026,
